,CallPrice,PutPrice,StrikePrice,A50Price,LocalTime,Type,TransactionArbitrage,Profit
154,0.1072,0.0078,1.85,1.956,2016-Feb-16 09:31:54.840095,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,0.04274097691267276
155,0.1547,0.0034,1.8,1.956,2016-Feb-16 09:31:54.840144,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,19.480905041313026
156,0.1547,0.0035,1.8,1.956,2016-Feb-16 09:31:54.840167,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,18.480905041313136
157,0.0059,0.156,2.1,1.956,2016-Feb-16 09:31:55.361284,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,2.8519206549176532
158,0.0108,0.1111,2.05,1.956,2016-Feb-16 09:31:55.361333,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.2900847193136586
159,0.0108,0.1111,2.05,1.956,2016-Feb-16 09:31:55.361351,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.2900847193136586
160,0.0227,0.072,2.0,1.956,2016-Feb-16 09:31:55.361379,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,11.728248783715003
161,0.0227,0.072,2.0,1.956,2016-Feb-16 09:31:55.361408,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,11.728248783715003
162,0.0412,0.0419,1.95,1.956,2016-Feb-16 09:31:55.361426,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.466412848114551
163,0.1547,0.0035,1.8,1.956,2016-Feb-16 09:31:55.361657,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,18.480905041313136
164,0.0236,0.072,2.0,1.956,2016-Feb-16 09:31:55.860469,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,20.72824878371401
165,0.0236,0.0693,2.0,1.956,2016-Feb-16 09:31:55.860499,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,47.72824878371326
166,0.0412,0.0419,1.95,1.956,2016-Feb-16 09:31:55.860645,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.466412848114551
167,0.1547,0.0027,1.8,1.956,2016-Feb-16 09:31:55.860899,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,26.480905041312255
168,0.0108,0.1111,2.05,1.956,2016-Feb-16 09:31:56.343341,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,1.2900847193136586
169,0.0236,0.0693,2.0,1.956,2016-Feb-16 09:31:56.343373,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,47.72824878371326
170,0.0236,0.0693,2.0,1.956,2016-Feb-16 09:31:56.343551,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,47.72824878371326
171,0.0412,0.0419,1.95,1.956,2016-Feb-16 09:31:56.343590,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",0,1.466412848114551
172,0.0711,0.0202,1.9,1.956,2016-Feb-16 09:31:56.343657,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",1,14.604576912510794
